broker,message_size_bytes,target_rps,runs,degraded_runs,stable_degraded,throughput_processed_msg_s,latency_p95_ms,latency_avg_ms,lost,backlog_end,cpu_avg_perc,cpu_p95_perc,cpu_max_perc,ram_avg_mb,ram_max_mb
redis,10240,10000,3,0,False,765.87,6.741,4.301,0,0,19.316,55.73,101.51,204.993,368.9
rabbitmq,102400,1000,6,6,True,103.6,10145.937,6175.048,0,0,15.265,49.96,85.43,217.764,279.25
redis,102400,1000,6,0,False,99.165,30.017,20.738,0,0,20.672,90.865,94.12,218.524,386.95
rabbitmq,102400,1500,3,3,True,104.45,8972.291,5528.103,0,0,10.512,25.67,76.47,192.693,258.9
redis,102400,1500,3,0,False,100.9,28.86,19.945,0,0,10.744,31.36,70.6,156.074,274.8
rabbitmq,102400,2000,3,3,True,104.55,9799.222,5904.657,0,0,13.26,54.37,61.3,186.557,270.4
redis,102400,2000,3,0,False,100.6,29.774,20.482,0,0,12.188,47.54,79.07,166.355,275.4
rabbitmq,102400,2500,3,3,True,105.05,8632.916,5403.027,0,0,13.086,53.37,64.3,188.693,269.5
redis,102400,2500,3,0,False,102.25,29.009,20.208,0,0,10.469,4.18,99.97,148.346,276.1
rabbitmq,102400,3000,3,3,True,104.75,8747.947,5313.046,0,0,13.803,38.55,80.51,189.107,264.8
redis,102400,3000,3,0,False,102.1,29.052,19.939,0,0,14.301,50.92,100.69,148.557,272.7
rabbitmq,102400,4000,3,3,True,104.4,8595.822,5157.422,0,0,12.589,42.4,75.78,187.507,246.3
redis,102400,4000,3,0,False,102.05,29.338,20.427,0,0,13.662,52.87,75.12,151.978,272.3
rabbitmq,102400,5000,6,6,True,103.7,11455.446,7090.975,0,0,14.235,53.36,85.82,201.188,279.25
redis,102400,5000,6,0,False,100.2,30.184,20.703,0,0,17.188,81.23,100.345,194.486,343.15
rabbitmq,102400,10000,3,3,True,103.37,14347.573,9082.923,0,0,15.631,57.52,86.29,219.086,309.4
redis,102400,10000,3,0,False,99.43,30.192,20.845,0,0,21.372,100.29,101.07,221.291,416.7
